id,departure,destination,startStation,endStation,journey,distance
1114.1815.A,Cao Bằng,Quảng Ninh,Liên tỉnh TP Cao Bằng,Cửa Ông,BX Cửa Ông - QL18 - Uông Bí - Sao Đỏ - Bắc Ninh - QL1 - cầu vượt Phủ Lỗ - QL3 - BX Liên tỉnh TP Cao Bằng,420
1114.1827.A,Cao Bằng,Quảng Ninh,Liên tỉnh TP Cao Bằng,Cẩm Hải,BX Cẩm Hải - QL18 - Tiên Yên - QL4B - QL4A - BX Liên tỉnh TP Cao Bằng,300
1114.1828.A,Cao Bằng,Quảng Ninh,Liên tỉnh TP Cao Bằng,Đông Triều,BX Đông Triều - QL18 - Sao Đỏ - QL37 - ĐT293 - Đường Giáp Văn Cương - QL37 - Bắc Giang - QL1A - QL4A - QL34B - Đường 310 (QL34B) - Ngã tư Sông Bằng - Rẽ đi Đường Pác Bó - Ngã tư Ngọc Xuân - QL3 (hướng đi Trung tâm hội nghị tỉnh) - BX Liên tỉnh TP Cao Bằng,280
1116.1617.A,Cao Bằng,Hải Phòng,Trùng Khánh,Đồ Sơn,BX Đồ Sơn - Cầu Rào 2 - Đường Võ Nguyên Giáp - Đường Nguyễn Văn Linh - Cầu An Đồng - QL5 - QL1 - Cao tốc Bắc Giang Lạng Sơn - QL21 - QL4A - QL34B - Đường 3.10 (QL34B) - Ngã tư Sông Bằng - Rẽ đi đường Pác Bó - Ngã tư Ngọc Xuân - QL3 (hướng đi huyện Quảng Hòa) - Thị trấn Quảng Uyên - TL206 - BX Trùng Khánh,380
1116.1815.A,Cao Bằng,Hải Phòng,Liên tỉnh TP Cao Bằng,Vĩnh Bảo,BX Vĩnh Bảo - QL10 - QL4 - BX Liên tỉnh TP Cao Bằng,380
1116.1816.A,Cao Bằng,Hải Phòng,Liên tỉnh TP Cao Bằng,Phía Bắc Hải Phòng,BX Phía Bắc Hải Phòng - QL5 - QL4A - BX Liên tỉnh TP Cao Bằng,300
1116.1823.A,Cao Bằng,Hải Phòng,Liên tỉnh TP Cao Bằng,Thượng Lý,BX Thượng Lý - QL5 - QL10 - QL18 - Tiên Yên - QL4B - QL4A - QL34B hướng đi Lạng Sơn - Đường 310 (QL34B) - Ngã tư Sông Bằng - Đường Pác Bó - Ngã tư Ngọc Xuân - QL3 - BX Liên tỉnh TP Cao Bằng,380
1116.1823.B,Cao Bằng,Hải Phòng,Liên tỉnh TP Cao Bằng,Thượng Lý,BX Thượng Lý - QL5 - QL1A - Cao tốc Thái Nguyên Hà Nội - QL3 - BX Liên tỉnh TP Cao Bằng,380
1116.1825.A,Cao Bằng,Hải Phòng,Liên tỉnh TP Cao Bằng,Vĩnh Niệm,BX Vĩnh Niệm - Nguyễn Văn Linh - cầu An Đồng - QL5 - QL10 - QL18 - QL1A - QL4 - đi theo hướng QL34B hướng đi Lạng Sơn - Ngã tư Sông Bằng - Đường Pác Bó - Ngã tư Ngọc Xuân - QL3 - BX Liên tỉnh TP Cao Bằng,380
1116.1825.B,Cao Bằng,Hải Phòng,Liên tỉnh TP Cao Bằng,Vĩnh Niệm,BX Vĩnh Niệm - QL5 - QL1A - QL3 - BX Liên tỉnh TP Cao Bằng,380
1116.1825.C,Cao Bằng,Hải Phòng,Liên tỉnh TP Cao Bằng,Vĩnh Niệm,BX Vĩnh Niệm - Võ Nguyên Giáp - Nguyễn Văn Linh - QL5 - QL1A - Cao tốc (Hà Nội - Thái Nguyên) - QL3 - Bắc Kạn - BX Liên tỉnh TP Cao Bằng,400
1116.1825.D,Cao Bằng,Hải Phòng,Liên tỉnh TP Cao Bằng,Vĩnh Niệm,BX Vĩnh Niệm - Đường Bùi Viện - Đường Nguyễn Trường Tộ - QL10 - QL18 - QL1A - QL4 - đi theo hướng QL34B hướng đi Lạng Sơn - Ngã tư Sông Bằng - Đường Pác Bó - Ngã tư Ngọc Xuân - QL3 - BX Liên tỉnh TP Cao Bằng,380
1116.1825.E,Cao Bằng,Hải Phòng,Liên tỉnh TP Cao Bằng,Vĩnh Niệm,BX Vĩnh Niệm - Đường Bùi Viện - Đường Nguyễn Trường Tộ - QL10 - Quán Toan - QL5 - QL1A - QL3 - BX Liên tỉnh TP Cao Bằng,380
1116.1825.F,Cao Bằng,Hải Phòng,Liên tỉnh TP Cao Bằng,Vĩnh Niệm,BX Vĩnh Niệm - Đường Bùi Viện - Đường Nguyễn Trường Tộ - QL10 - Quán Toan - QL5 - QL1A - Cao tốc (Hà Nội - Thái Nguyên) - QL3 - Bắc Kạn - BX Liên tỉnh TP Cao Bằng,400
1117.1811.A,Cao Bằng,Thái Bình,Liên tỉnh TP Cao Bằng,Trung tâm TP Thái Bình,BX Liên tỉnh TP Cao Bằng - QL3 - Cao tốc Hà Nội - Thái Nguyên - QL39 - QL10 - BX Trung tâm TP Thái Bình,376
1117.1822.A,Cao Bằng,Thái Bình,Liên tỉnh TP Cao Bằng,Huyện Tiền Hải,BX Huyện Tiền Hải - QL37B - ĐT458 - QL10 - QL39 - Phố Nối - QL5 - QL3 - Phố Yên - BX Cao Bằng,440
1118.1616.A,Cao Bằng,Nam Định,Trùng Khánh,Quất Lâm,"BX Quất Lâm - QL37B - TL488 (đoạn Chợ Bể) - dốc Hoành Nha - TL489 - QL21 - Đường Lê Đức Thọ - QL10 - Đại lộ Thiên Trường - QL21 - QL1 - Cao tốc Pháp Vân, Cầu Giẽ, Ninh Bình - QL38 - Chợ Gạo - QL39A - QL5 - Cầu vượt đường 5 - QL1A - Lạng Sơn - QL4A - QL34B - Đường 3.10 (QL34B) - Ngã tư Sông Bằng - Đường Pắc Pó - Ngã tư Ngọc Xuân - QL3 (hướng đi huyện Quảng Hòa) - thị trấn Than Uyên - TL206 - BX Trùng Khánh",490
1118.1618.A,Cao Bằng,Nam Định,Trùng Khánh,Nghĩa Hưng,BX Nghĩa Hưng - TL490C - Ngã ba Tam Thôn - TL488B - QL21 - Đường Lê Đức Thọ - QL10 - Đại lộ Thiên Trường - QL21 - QL1A - Cao tốc Pháp Vân Cầu Giẽ - Đường vành đai 3 trên cao - Cầu Thanh Trì - QL3 - TL206 - BX Trùng Khánh,460
1118.1814.A,Cao Bằng,Nam Định,Liên tỉnh TP Cao Bằng,Giao Thủy,BX Liên tỉnh TP Cao Bằng - QL3 - Bắc Thăng Long - Đường 5 kéo dài - Cầu Đông Trù - Đường 5 kéo dài - Đường Nguyễn Văn Linh - Đường dẫn cầu Thanh Trì - Cầu Thanh Trì - Đường Vành đai 3 - Cao tốc Pháp Vân Cầu Giẽ - QL1 - QL21 - Đường Lê Đức Thọ - QL21 - TL489 - BX Giao Thủy,420
1118.1814.B,Cao Bằng,Nam Định,Liên tỉnh TP Cao Bằng,Giao Thủy,BX Giao Thủy - TL489 - QL21 - Đường Lê Đức Thọ - QL10 - Đại lộ Thiên Trường - QL21B - QL21 - QL1A - Pháp Vân - Vành đai 3 trên cao - Cầu Thanh Trì - QL1 - Lạng Sơn - Thất Khê - Đông Khê - QL4 - BX Liên tỉnh TP Cao Bằng,430
